Symbol,Date,Open,High,Low,Close,AdjClose,Volume
ADANIPORTS,09/08/2016,272,276,272,275.200012,274.296814,518706
ADANIPORTS,09/09/2016,275,275.5,270.149994,271.450012,270.559113,445216
ADANIPORTS,09/12/2016,270,270,256.649994,259.600006,258.747986,524101
ADANIPORTS,9/14/2016,261,267.299988,257.200012,264.950012,264.080444,199484
ADANIPORTS,9/15/2016,266.299988,269.649994,262,267.200012,266.323059,249885
ADANIPORTS,9/16/2016,267,274.899994,267,271.75,270.858124,472978
ADANIPORTS,9/19/2016,272.950012,277.450012,269.899994,276.100006,275.193848,313372
ADANIPORTS,9/20/2016,277.600006,277.600006,267.799988,270.149994,269.263367,253662
ADANIPORTS,9/21/2016,275,276,267.5,269.649994,268.765015,376957
ADANIPORTS,9/22/2016,274.399994,277.100006,272,275.200012,274.296814,311963
ADANIPORTS,9/23/2016,275,277.700012,273.200012,275.25,274.346619,205026
ADANIPORTS,9/26/2016,275.100006,275.100006,268.799988,270.450012,269.562378,209006
ADANIPORTS,9/27/2016,269.450012,273.850006,264,264.5,263.631897,358398
ADANIPORTS,9/28/2016,269.899994,271.5,262.399994,270.5,269.612213,217582
ADANIPORTS,9/29/2016,272,273.649994,254.199997,256.950012,256.106689,364444
ADANIPORTS,9/30/2016,258.049988,259.799988,249.550003,256.75,255.907349,376021
ADANIPORTS,10/03/2016,259.950012,280,259.950012,264.450012,263.582092,432774
ADANIPORTS,10/04/2016,269.450012,269.5,263.149994,268.299988,267.419434,296153
ADANIPORTS,10/05/2016,270,270,264.049988,265.75,264.877808,204872
ADANIPORTS,10/06/2016,266,267.899994,261.799988,264.649994,263.781403,251993
ADANIPORTS,10/07/2016,265.100006,267.75,262.600006,267.049988,266.173523,134737
ADANIPORTS,10/10/2016,266.399994,268.899994,263.549988,264,263.133545,78621
ADANIPORTS,10/13/2016,263,263,248.600006,251.649994,250.824081,360295
ADANIPORTS,10/14/2016,251,256.950012,251,254.449997,253.614883,194680
ADANIPORTS,10/17/2016,254,254.949997,249.399994,250.899994,250.076538,125085
ADANIPORTS,10/18/2016,252,268.75,252,266.700012,265.824707,372094
ADANIPORTS,10/19/2016,266.649994,273.350006,263,271.350006,270.459442,427985
ADANIPORTS,10/20/2016,272,286.200012,268.850006,285.200012,284.263977,667954
ADANIPORTS,10/21/2016,285.950012,287.899994,281.549988,285.75,284.812164,364530
ADANIPORTS,10/24/2016,285.700012,294.700012,283.600006,285.649994,284.712494,1331297
ADANIPORTS,10/25/2016,287.799988,317,280.899994,312.600006,311.574036,2230304
ADANIPORTS,10/26/2016,313,316.450012,299.450012,305,303.998993,973520
ADANIPORTS,10/27/2016,305,308.799988,299.299988,304.950012,303.949158,453694
ADANIPORTS,10/28/2016,301.399994,309.600006,301.399994,307.049988,306.042236,429512
ADANIPORTS,11/01/2016,305.100006,308.299988,301.850006,304.600006,303.600311,272472
ADANIPORTS,11/02/2016,302,303.899994,297.549988,299.850006,298.865906,337079
ADANIPORTS,11/03/2016,300,302.149994,287.149994,288.100006,287.154449,410486
ADANIPORTS,11/04/2016,288.100006,292.049988,284.649994,288.549988,287.602966,293998
ADANIPORTS,11/07/2016,292.399994,297.700012,290.799988,293.649994,292.686218,281354
ADANIPORTS,11/08/2016,298.799988,298.799988,286.950012,290.899994,289.945251,297548
